lead_id,lead_name,tier,sector,municipality,phone,distance_km,paco_why,manolo_autoridad,viable,motivo_rechazo
la_casa_del_pollo_as_3eb2abeb,La Casa Del Pollo Asado,B,hostelería,Huétor Tájar,958 33 25 75,1.981,"La actividad en hostelería sugiere un consumo significativo, aunque falta información sobre el consumo anual real.","Otras empresas de hostelería en Huétor Tájar ya están pagando solo 0,09 euros/kWh. La planta está a menos de 2 km de ti, y tú también puedes beneficiarte.",,
la_ganga_2_mano_tran_a9561fb3,LA GANGA 2 MANO TRANSPORTES Y MUDANZAS,B,otro,Huétor Tájar,658 42 12 00,2.726,No se dispone de datos sobre el consumo anual. La ubicación está dentro del radio de 5 km de la planta solar.,"Otras empresas en Huétor Tájar ya están pagando solo 0,09 euros/kWh. No te quedes atrás. Con tu factura en la mano te hago el estudio. Sin compromiso.",,
neumaticos_huetor_ta_d9cb992d,NEUMATICOS HUETOR TAJAR,B,taller,Huétor Tájar,675 73 66 51,1.783,"No se proporciona el consumo anual, lo que impide una evaluación más precisa. Sin embargo, la actividad de taller sugiere un consumo relevante.","Existen talleres cercanos que ya están pagando 0,09 euros/kWh por su electricidad. Mándame tu factura y te muestro cómo puedes unirte a ellos.",,
neumáticos_antonio_g_87f43a08,Neumáticos Antonio Gómez Gámiz,B,taller,Huétor Tájar,958 33 30 60,2.107,"No se dispone del consumo anual, pero es un taller que podría tener un consumo relevante. Está ubicado dentro del radio de la planta solar.","Otros talleres en Huétor Tájar ya están pagando solo 0,09 euros/kWh por su energía. ¿Quieres unirte a ellos? Mándame tu última factura.",,
reparaciones_muñoz_c_d406683b,Reparaciones Muñoz Castillo,B,taller,Huétor Tájar,675 50 84 03,2.947,"El sector indica un consumo que podría estar entre 30.000 y 100.000 kWh/año, pero falta información sobre el consumo anual específico.","Otras empresas de talleres cerca de ti ya están disfrutando de tarifas de 0,09 euros/kWh. Con tu factura en la mano, te puedo indicar si es posible para ti tamb",,
restaurante_asador_p_8770cfce,RESTAURANTE ASADOR PANILLA,B,hostelería,Loja,958 33 22 29,4.538,"Es un restaurante que podría tener un consumo significativo, pero falta información sobre el consumo anual exacto y la tarifa eléctrica.",,,
restaurante_atracón__460646f3,Restaurante Atracón Huétor Tájar,B,otro,Huétor Tájar,958 33 29 57,2.804,"Restaurante con actividad diurna preferente que podría tener un consumo anual superior a 30.000 kWh, sin datos suficientes para estimar. Está ubicado a menos de 5 km de una planta solar Soldelia.",,,
restaurante_chino_hu_4ac790be,Restaurante chino HUAXIANG,B,hostelería,Huétor Tájar,958 33 22 21,1.762,"El restaurante es un negocio del sector de la hostelería y tiene un consumo potencialmente alto, pero se necesita más información sobre su consumo anual.","Hay restaurantes en Huétor Tájar que ya están pagando solo 0,09 euros/kWh por su energía. Si tu restaurante también quiere beneficiarse, necesito que me envíes ",,
restaurante_el_atrac_0f81a700,RESTAURANTE EL ATRACÓN,B,hostelería,Huétor Tájar,,1.943,"Es un restaurante, actividad que suele tener un consumo significativo. Sin embargo, falta información sobre su consumo anual para una clasificación más precisa.","Hay restaurantes cerca de ti que ya pagan 0,09 euros/kWh por su energía. ¿Te gustaría saber cuánto podrías ahorrar tú? Envíame tu última factura.",,
restaurante_pizzería_519f9d71,Restaurante pizzería CJ.,B,hostelería,Huétor-Tájar,958 49 34 65,2.778,"El lead es un restaurante, lo que sugiere un consumo significativo, pero falta información específica sobre el consumo anual. Está dentro del radio de 5 km de la planta solar.","Hay restaurantes cerca de ti que ya están pagando solo 0,09 euros/kWh. Es una opción que te podría interesar para mejorar tus costes operativos.",,
riviera_mediterranea_010a905c,Riviera Mediterranean Restaurante,B,hostelería,Huétor Tájar,722 52 25 01,1.850,"Es un restaurante, lo que sugiere actividad diurna y un posible consumo significativo, aunque no se cuenta con la factura más reciente para estimar el consumo anual. Se encuentra dentro del radio de la planta solar.","Hay restaurantes en Huétor Tájar que ya están pagando 0,09 euros/kWh gracias a la energía solar. Si me mandas tu última factura, te cuento cómo tú también puede",,
ronda_norte_700bb841,Ronda Norte,B,taller,Huétor Tájar,958 33 31 87,1.952,"El taller se encuentra dentro del radio de 5km de la planta solar y tiene un alto consumo probable, pero no se puede estimar el consumo exacto.","Hay talleres en Huétor Tájar que ya pagan 0,09 euros/kWh por su energía. Tú también puedes beneficiarte de esto. Envía tu última factura y te mostraré cómo.",,
salvador_jesús_cano__707760e0,Salvador Jesús Cano Lobato - Talleres DelSalva,B,taller,Huétor Tájar,958 33 20 80,2.499,"El taller pertenece a un sector con posible encaje solar, pero falta información sobre el consumo anual para una clasificación más precisa.","Hay talleres cerca de ti que ya están pagando 0,09 euros/kWh por su energía. Están a menos de 3km de Talleres DelSalva. Con tu factura en la mano te hago el est",,
taller_amt_3748b781,Taller AMT,B,taller,Huétor Tájar,660 04 65 30,0.041,"El taller podría tener un consumo significativo, pero se requiere más información para evaluar con precisión.","Hay talleres cerca de ti que ya pagan 0,09 euros/kWh. Aunque no lo creas, esto podría beneficiar a tu negocio. Con tu factura en la mano, te hago el estudio sin",,
taller_antonio_torre_e112d112,"Taller Antonio Torres ""Solanas""",B,taller,Huétor Tájar,958 33 26 61,1.833,"El taller puede estar dentro del rango de consumo adecuado, aunque falta información sobre el consumo anual. Se localiza a 1.833 km de la planta solar.","Otras empresas en Huétor Tájar ya están disfrutando de tarifas de 0,09 euros/kWh. Tu taller también puede beneficiarse.",,
talleres_moyá_aguile_1c99424e,Talleres Moyá Aguilera,B,taller,Huétor Tájar,958 33 21 91,2.661,"El lead es un taller, pero no se cuenta con información suficiente para estimar el consumo anual. La ubicación es adecuada para Soldelia.","Otras empresas en Huétor Tájar ya están pagando 0,09 euros/kWh. Talleres Moyá Aguilera también puede beneficiarse de esta energía a buen precio.",,
talleres_naranjo_04954baf,TALLERES NARANJO,B,taller,Huétor Tájar,605 16 24 10,1.999,"Es un taller que puede tener un consumo significativo, pero falta información sobre el consumo anual específico. La ubicación está dentro del radio de la planta solar.","Talleres como el tuyo en la zona ya están aprovechando tarifas de 0,09 euros/kWh. A menos de 2km, también puedes hacerlo.",,
talleres_neumáticos__2cfb5659,Talleres Neumáticos Juanjo Ramos,B,otro,Huétor Tájar,958 33 20 19,2.031,"El lead es un negocio que podría tener un consumo considerable, pero faltan datos de consumo y tarifa eléctrica. La ubicación está dentro del radio de la planta solar.","Otros talleres en Huétor Tájar ya están pagando solo 0,09 euros/kWh gracias a la energía solar. ¿Te gustaría unirte a ellos? Envíame tu última factura eléctrica",,
talleres_rual_5714eba2,Talleres RUAL,B,taller,Huétor Tájar,684 00 90 41,0.221,"La actividad de taller puede generar un consumo considerable y se encuentra dentro del radio de la planta solar. Sin embargo, falta información sobre el consumo anual específico.","Hay talleres en tu área que ya están pagando solo 0,09 euros/kWh por su energía. A menos de un kilómetro de Talleres RUAL, la opción ya está funcionando y gener",,
talleres_tenazas_815397e4,Talleres Tenazas,B,taller,Huétor Tájar,958 33 25 31,1.681,"Clasificado en TIER B porque es un taller, lo que indica un consumo significativo, pero no hay datos suficientes para estimar el consumo anual. Está ubicado dentro del radio de 5 km de una planta solar.","Hay talleres en Huétor Tájar que ya disfrutan de energía a 0,09 euros/kWh. No te quedes atrás. Si me mandas la última factura, te daré un análisis en 5 minutos.",,
talleres_y_neumatico_c764a5a8,Talleres y Neumaticos Isarce,B,taller,Venta Nueva,615 39 95 86,1.210,"Se trata de un taller que puede tener un consumo anual considerable, pero no se determina lo suficiente para clasificarlo en TIER A. Además, está dentro del radio de la planta solar.","Hay talleres cerca de ti que ya pagan 0,09 euros/kWh gracias a la energía solar. Esta planta a menos de 2km puede ser una gran oportunidad para tu negocio. Con ",,
taresa_s.l._0e9f6c96,Taresa S.L.,B,taller,Huétor Tájar,958 33 31 95,2.172,"El sector de talleres puede tener un consumo relevante, pero falta información sobre el consumo anual. Se encuentra dentro del radio de la planta solar.","Otras empresas de talleres en Huétor Tájar ya están pagando solo 0,09 euros/kWh. Tú también puedes unirte y optimizar tu consumo.",,
terraza_el_olivo_d3d32412,Terraza El Olivo,B,hostelería,Huétor Tájar,,2.464,"Hostelería con actividad diurna, pero falta de datos sobre consumo anual. Probablemente dentro del rango de 30,000 a 100,000 kWh.","Hay restaurantes en Huétor Tájar que ya están pagando 0,09 euros/kWh. Ellos han aprovechado la planta solar a menos de 3km. En 5 minutos, con tu factura, puedo ",,
vor_radioayuda_naveg_679d294a,VOR Radioayuda navegación aérea,B,otro,Moraleda de Zafayona,,3.290,"El lead no proporciona información sobre el consumo anual, pero está dentro del radio de 5km de la planta y se clasifica como empresa.","Otras empresas en tu zona ya están beneficiándose de tarifas a 0,09 euros/kWh. Quiero mostrarte cómo también puedes hacerlo.",,
área_de_servicio_veg_a10b2e9f,Área de servicio Vega Poniente,B,hostelería,,644 54 10 92,3.240,"Es un restaurante, lo que sugiere un consumo significativo, pero se requiere más información sobre el consumo anual para una calificación exacta.","Otros restaurantes de la zona ya están pagando 0,09 euros/kWh. Aprovechar esta opción puede ser beneficioso para tu negocio. ¿Me mandas la última factura?",,
