lead_id,lead_name,tier,sector,notes,municipality,province,phone,distance_km,plant_name,paco_why,manolo_autoridad,viable,motivo_rechazo
bodegón_la_cañada_1e376213,Bodegón La Cañada,B,otro,Spanish Restaurant,La Palma del Condado,Huelva,662 54 67 38,1.269,CS Palma del Condado I,"Restaurante con actividad diurna y consumo potencialmente significativo, aunque se requiere más información para determinar el consumo anual exacto.","Hay restaurantes en La Palma del Condado que ya están pagando 0,09 euros/kWh gracias a la energía solar. Tu establecimiento también puede beneficiarse de esta o",,
buen_provecho_serena_8c012211,BUEN PROVECHO SERENA S. L,B,otro,Restaurant,Villanueva de la Serena,Badajoz,924 84 53 11,0.416,CS Villanueva de la Serena I,"La actividad es un restaurante, lo que sugiere un consumo diurno, pero falta información clave como el consumo anual.","Otros restaurantes como el tuyo en Villanueva de la Serena ya están aprovechando tarifas de 0,09 euros/kWh. ¿Te gustaría saber más?",,
casa_pepe_1522ecfe,Casa Pepe,B,otro,Restaurant,45,Jaén,953 23 10 29,2.444,CS Jaén I,"El lead es un restaurante y podría tener un consumo superior a 30,000 kWh/año. La información sobre el consumo exacto y la tarifa eléctrica es desconocida.","Otros restaurantes en Jaén ya están pagando 0,09 euros/kWh con la planta solar cercana. ¿Te gustaría saber más?",,
casa_quiquet_111a84bc,Casa Quiquet,B,otro,Restaurant,Beniparrell,Valencia,961 20 07 50,3.915,CS Alcàsser I,"El cliente es un restaurante, lo que sugiere un consumo diurno significativo, pero faltan datos sobre el consumo anual. La ubicación es adecuada para el encaje solar.","Otros restaurantes en Beniparrell ya están pagando 0,09 euros/kWh por su energía. Es posible que tú también puedas hacerlo.",,
centro_logístico_the_a234695e,Centro Logístico the Fini Company,B,otro,Storage,Yecla,Murcia,,2.996,CS Yecla II,"La actividad de almacenamiento puede indicar un consumo significativo. A falta de datos específicos sobre el consumo, se clasifica como TIER B con confianza media.","Otras empresas en Yecla ya están aprovechando tarifas de 0,09 euros/kWh. No te quedes atrás en una oportunidad accesible.",,
dachser_spain_3c68eb6f,DACHSER Spain,B,otro,Storage,Meco,Madrid,,4.645,CS Azuqueca de Henares I,"La distancia a la planta solar es adecuada y podría tener una actividad diurna, pero se requiere información sobre su consumo anual.","Hay empresas en tu área que ya están pagando 0,09 euros/kWh. A menos de 5km de tu negocio, la energía solar está funcionando para otros.",,
dachser_spain_logist_3fac2459,DACHSER Spain Logistics - Azuqueca,B,otro,,Azuqueca de Henares,Guadalajara,949 26 62 87,0.906,CS Azuqueca de Henares I,No se dispone de información sobre el consumo anual de energía. Se requiere más información para una calificación más precisa.,"Hay empresas cerca de ti, a menos de un kilómetro, que ya están pagando 0,09 euros/kWh con energía solar. DACHSER Spain Logistics podría unirse a ellas. Envíame",,
dia_logistics_platfo_61463283,DIA logistics platform Jaén,B,otro,Storage,23,Jaén,,4.273,CS Jaén I,"El lead no proporciona información sobre el consumo anual, pero se encuentra dentro del radio de influencia de la planta solar. La actividad es logística, lo que sugiere un posible consumo relevante.","Hay empresas en Jaén que ya están pagando 0,09 euros/kWh gracias a la planta solar cercana. Si quieres, puedo hacerte un estudio de tu caso concreto. ¿Me mandas",,
el_duque_4655bde4,El duque,B,otro,Restaurant,Torredelcampo,Jaén,953 56 87 46,0.604,CS Torredelcampo II,"Es un restaurante, lo que sugiere consumo diurno, aunque no hay datos sobre el consumo anual. La distancia a la planta solar es adecuada.","Restaurantes en Torredelcampo ya están pagando 0,09 euros/kWh gracias a la planta solar cercana. ¿Quieres saber cómo?",,
el_fogón_de_torrijos_7ec8bd0a,El Fogón de Torrijos,B,otro,Restaurant,Torrijos,Toledo,606 77 30 41,1.090,CS Torrijos II,"Es un restaurante que, aunque no se cuenta con información sobre el consumo exacto, puede estar en el rango de 30.000-100.000 kWh/año. Está ubicado a menos de 5km de una planta solar Soldelia.","Hay empresas en Torrijos que ya están pagando 0,09 euros/kWh con energía solar. Tú también podrías aprovecharlo. Con tu factura en la mano te hago el estudio. S",,
el_librero_tapas_y_q_669a9d6a,El Librero Tapas Y Quesos,B,otro,Spanish Restaurant,Casco Antiguo,Sevilla,955 27 66 11,0.636,CS Sevilla I,"No se sabe el consumo energético anual, pero al ser un restaurante es probable que esté en el rango de 30.000-100.000 kWh/año. Está frente a una planta solar a menos de 5 km.","Hay restaurantes en tu zona que ya están pagando 0,09 euros/kWh gracias a la energía solar. No te quedes atrás. Si me mandas tu factura eléctrica, te hago el es",,
el_miarma_toaa_c18b7992,El miarma toaa,B,otro,Spanish Restaurant,Maribáñez,Sevilla,686 60 93 33,4.315,CS Los Palacios y Villafranca,"El lead es un restaurante, lo que sugiere una actividad diurna, pero faltan datos sobre el consumo anual. Se encuentra dentro del radio de 5km de la planta solar.","Hay empresas cerca de ti que ya pagan 0,09 euros/kWh por la energía solar. Esto podría ser una excelente opción para tu negocio. Con tu factura en la mano te ha",,
el_rinconcillo_e2b88f65,El Rinconcillo,B,otro,Spanish Restaurant,Casco Antiguo,Sevilla,954 22 31 83,0.586,CS Sevilla I,"El lead es un restaurante, lo que sugiere un consumo diurno, pero faltan datos de consumo anual. La proximidad a la planta solar favorece la opción de Soldelia.","Hay restaurantes cerca de ti que ya están pagando solo 0,09 euros/kWh por su energía, gracias a una planta solar a menos de un kilómetro. Con tu factura en la m",,
estacion_de_servicio_1799b830,estacion de servicio,B,comercio,Food Store,Tembleque,Toledo,,4.411,CS Madridejos II,"La estación de servicio no proporciona datos claros sobre el consumo anual, pero está bien ubicada cerca de una planta solar y puede tener un consumo significativo.","Hay estaciones de servicio en tu área que ya están utilizando energía solar a 0,09 euros/kWh. Podrías sumarte a esta tendencia.",,
europea_de_carretill_2c13c877,Europea de Carretillas,B,otro,Suppliers,Picassent,Valencia,961 21 18 35,4.710,CS Alcàsser I,"No se dispone de información sobre el consumo anual ni tarifa eléctrica, lo que impide una clasificación más alta. Se encuentra en un área adecuada para el PPA colectivo.","Otras empresas en la zona ya están aprovechando la energía solar a 0,09 euros/kWh. Están a menos de 5km de ti.",,
family_sport_center_698ff565,Family Sport Center,B,otro,Fitness center,Beniparrell,Valencia,961 11 11 33,3.668,CS Alcàsser I,"El lead es una empresa en un sector que consume energía diurna, pero falta información sobre el consumo anual para una clasificación precisa.","Otras empresas cerca de Family Sport Center ya están pagando solo 0,09 euros/kWh gracias a la planta solar a menos de 5km. Este es un cambio que podría benefici",,
galp_petrol_station__023725dd,Galp petrol station Tembleque,B,otro,Gas Station,Tembleque,Toledo,697 32 35 86,4.420,CS Madridejos II,"La gasolinera es un negocio que puede tener un consumo eléctrico considerable, aunque se necesita más información sobre el consumo anual exacto para una clasificación precisa. La ubicación está dentro del radio de 5km de la planta solar.","Hay empresas en tu zona que ya están aprovechando tarifas de 0,09 euros/kWh gracias a la planta solar cercana. Tú también puedes beneficiarte. Envíame tu última",,
galp_petrol_station__e49fd0e2,Galp petrol station Torredonjimeno,B,otro,Gas Station,Torredonjimeno,Jaén,953 34 11 01,3.709,CS Torredelcampo II,La ubicación está dentro del radio de 5km de una planta solar Soldelia y podría tener un consumo significativo asociado a su actividad.,"Hay otras estaciones de servicio cerca de ti que ya están aprovechando energía solar a 0,09 euros/kWh. No te quedes atrás. Con tu factura en la mano te hago el ",,
gráficas_la_paz_de_t_fe55d174,Gráficas la Paz de Torredonjimeno,B,otro,Manufacturer,Torredonjimeno,Jaén,953 57 10 87,3.600,CS Torredelcampo II,"El lead cumple con varios requisitos para el PPA colectivo y está ubicado cerca de una planta solar, pero faltan datos sobre su consumo y tarifa eléctrica.","Otras empresas en la zona de Torredonjimeno ya están aprovechando tarifas de 0,09 euros/kWh. A menos de 5km hay una planta solar que les permite hacerlo. Mándam",,
hostal_goyesco_plaza_efb7232d,Hostal Goyesco Plaza,B,otro,Lodging,Plasencia,Cáceres,927 41 53 74,4.092,CS Plasencia II,El hostal está dentro del radio de una planta solar y su actividad sugiere consumo durante el día. No se dispone de datos de consumo anual para una evaluación más precisa.,"Hay otros hostales cerca de ti que ya están pagando 0,09 euros/kWh por su energía. A menos de 5km de tu ubicación, puedes unirte a ellos. Si me envías tu última",,
hostal_restaurante_l_890b2a97,Hostal Restaurante las Palomas,B,otro,Restaurant,Lucena,Córdoba,957 50 11 50,2.813,CS Lucena III,"El lead es un restaurante, que generalmente tiene consumo a lo largo del día, pero falta información sobre el consumo anual.","Otros restaurantes en Lucena ya están aprovechando tarifas de 0,09 euros/kWh. Puedes sumarte a esta tendencia.",,
hotel_aljardín_resta_c8e294f5,Hotel AlJardín Restaurante Villanueva de la Serena,B,otro,Hotel,Villanueva de la Serena,Badajoz,924 84 91 65,1.447,CS Villanueva de la Serena I,"No se dispone de información sobre el consumo anual, lo que limita la clasificación. Sin embargo, se trata de un hotel que podría tener un consumo relevante.","Otros hoteles en Villanueva de la Serena ya están pagando 0,09 euros/kWh. Tu hotel también podría beneficiarse de esta tarifa.",,
hotel_restaurante_la_2b1607c5,Hotel Restaurante La Casota S L,B,otro,Restaurant,La Solana,Ciudad Real,926 63 19 36,0.038,CS La Solana I,"El lead es un restaurante que puede tener un consumo relevante, pero no se dispone de datos sobre su consumo anual. Además, se encuentra a 38 metros de una planta solar.","Hay hoteles y restaurantes en tu zona que ya están pagando 0,09 euros/kWh por su energía. Tú también podrías beneficiarte, ya que estás a menos de 40 metros de ",,
hotel_restaurante_le_0a731e0a,Hotel Restaurante León,B,otro,Hotel,La Palma del Condado,Huelva,959 41 80 10,3.009,CS Palma del Condado I,"No se especifica el consumo anual, pero se trata de un hotel que probablemente consume más de 30.000 kWh/año. Además, está ubicado a menos de 5 km de una planta solar.","Hay hoteles en tu zona que ya están pagando solo 0,09 euros/kWh. Tu hotel también puede beneficiarse. ¿Me mandas la última factura para hacer el estudio?",,
hotel_xauen_e00d198c,Hotel Xauen,B,otro,Hotel,C. Cronista Cazabán,Jaén,953 24 07 89,1.395,CS Jaén I,"El hotel puede alcanzar un consumo anual de entre 30.000 y 100.000 kWh, aunque no se especifica el consumo exacto. Se encuentra dentro del radio de 5 km de una planta solar.","Hay hoteles en Jaén que ya están pagando solo 0,09 euros/kWh gracias a la energía solar. Su proximidad a la planta solar podría beneficiarte también. Con tu fac",,
infanta_sevilla_1cebe662,Infanta Sevilla,B,otro,Bar & Grill,27,Sevilla,954 02 97 81,1.827,CS Sevilla II,"El lead es un bar, que puede tener un consumo diurno, pero no se dispone de datos del consumo anual. La distancia a la planta solar también favorece el encaje con Soldelia.","Hay bares en Sevilla que ya están pagando solo 0,09 euros/kWh gracias a la planta solar cerca de ti. Podrías estar en la misma situación.",,
itv_villanueva_de_la_fe17b70e,ITV Villanueva de la Serena,B,taller,Car repair and maintenance service,Villanueva de la Serena,Badajoz,924 02 19 37,0.451,CS Villanueva de la Serena I,"Es un taller, lo cual puede indicar un consumo relevante, pero falta información sobre la tarifa y el consumo anual. Necesita clarificación sobre el consumo real.","Otros talleres en tu zona ya están aprovechando la energía a 0,09 euros/kWh. ¿Te animas a conocer más? Envía tu factura eléctrica.",,
juanma_restaurante_34127c8a,Juanma Restaurante,B,otro,Restaurant,Los Palacios y Villafranca,Sevilla,955 81 59 85,0.855,CS Los Palacios y Villafranca,"Se trata de un restaurante, pero se necesita más información sobre su consumo eléctrico para una clasificación más precisa.","Hay restaurantes cerca de ti que ya están pagando 0,09 euros/kWh gracias a la energía solar. Con tu factura en la mano, te puedo mostrar cómo puedes hacer lo mi",,
julio_8278c19c,Julio,B,otro,Bar & Grill,Torredonjimeno,Jaén,953 57 17 69,3.789,CS Torredelcampo II,"El sector indica un consumo posible, pero falta información sobre consumo anual y tarifa eléctrica. Está dentro del radio de la planta solar.","Hay empresas cerca de ti que ya están pagando 0,09 euros/kWh gracias a la planta solar a menos de 4km. Mándame tu última factura y te muestro cómo puedes unirte",,
la_bernarda_74b3f48d,La Bernarda,B,otro,Restaurant,21,Sevilla,955 51 23 34,0.527,CS Sevilla I,"Se trata de un restaurante, lo que indica posible consumo diurno. Se requiere información sobre el consumo anual para clasificar mejor.","Hay empresas en Sevilla que ya están pagando 0,09 euros/kWh gracias a la energía solar. Está a menos de un kilometro de tu restaurante. Con tu factura en la man",,
la_carbonería_b9749f28,La Carbonería,B,otro,Restaurant,Casco Antiguo,Sevilla,954 22 99 45,0.268,CS Sevilla I,"El lead es un restaurante que podría tener un consumo significativo, aunque la información sobre su consumo específico no está disponible. La distancia a la planta solar es favorable.","Otros restaurantes cercanos a ti ya están aprovechando la energía solar a 0,09 euros/kWh. Podrías hacer lo mismo.",,
la_mafia_se_sienta_a_43936f8a,La Mafia se sienta a la mesa,B,otro,Italian Restaurant,Lucena,Córdoba,957 78 30 72,0.820,CS Lucena III,"El lead es un restaurante, por lo que puede tener un consumo diurno, pero se necesita más información sobre su consumo anual.","En Lucena, varios restaurantes ya están disfrutando de tarifas de 0,09 euros/kWh gracias a la planta solar cercana. ¿Te gustaría saber más?",,
los_baltazares_0427d9f0,Los Baltazares,B,otro,Mediterranean Restaurant,Dos Hermanas,Sevilla,663 85 05 96,0.813,CS Dos Hermanas,"El restaurante no tiene información suficiente sobre el consumo anual, pero su actividad es diurna y está dentro del radio de la planta solar. No se conocen la tarifa ni el consumo anual con certeza.","Hay restaurantes cerca de ti que ya pagan 0,09 euros/kWh por su energía. La planta solar está a menos de un kilómetro. Si me mandas tu factura eléctrica, te mue",,
los_monges_c9b2b752,Los Monges,B,otro,Restaurant,Plasencia,Cáceres,927 42 08 08,4.353,CS Plasencia II,"El lead es un restaurante, que típicamente tiene actividad diurna, y se encuentra dentro del radio de la planta solar. Falta información sobre el consumo anual y la tarifa eléctrica.","Otros restaurantes en Plasencia ya pagan 0,09 euros/kWh gracias a la planta solar cercana. Te invito a que revises tu factura. Con tu factura en la mano te hago",,
macarraca_d6f1ed8f,Macarraca,B,otro,Restaurant,Villanueva de la Serena,Badajoz,613 09 52 91,1.353,CS Villanueva de la Serena I,"El lead es un restaurante que podría tener un consumo relevante, aunque no se cuenta con datos exactos sobre el consumo anual y la tarifa eléctrica.","Hay restaurantes cerca de ti que ya están pagando 0,09 euros/kWh. La planta solar está a menos de 2km. Si me mandas la última factura, en 5 minutos tienes los n",,
makro_98a1c16e,Makro,B,comercio,Store,Alcalá de Guadaíra,Sevilla,955 62 71 03,3.775,CS Alcalá de Guadaíra I,"Makro cumple con ser una empresa situada a menos de 5km de la planta solar y es un comercio de tamaño mediano, lo que sugiere un consumo considerable. Sin embargo, la falta de datos sobre su consumo anual exacto limita la clasificación a TIER B.","Hay empresas en Alcalá de Guadaíra que ya están pagando 0,09 euros/kWh por su energía. Como comercio, podrías beneficiarte también. ¿Me envías la última factura",,
masia_de_les_estrell_4dd39ceb,Masia de les Estrelles,B,otro,Korean Restaurant,Catarroja,Valencia,960 44 22 00,3.373,CS Alcàsser I,"El lead pertenece a un restaurante, lo que sugiere un consumo significativo, pero faltan datos de facturación. Está dentro del radio de la planta solar.","Hay restaurantes cercanos que ya están pagando solo 0,09 euros/kWh. Masia de les Estrelles también puede beneficiarse de esto.",,
mesón_la_cueva_06221d28,Mesón La Cueva,B,otro,Spanish Restaurant,Carmona,Sevilla,665 20 61 39,0.105,CS Carmona I,"Es un restaurante, lo que podría generar un consumo significativo durante el día, pero falta información sobre el consumo específico anual y tipo de tarifa eléctrica.","Hay restaurantes cerca de ti que ya pagan 0,09 euros/kWh. La energía solar a menos de un kilómetro de tu negocio funciona y puede ser una opción para ti. ¿Me ma",,
mingalario_39432432,Mingalario,B,otro,Spanish Restaurant,Carmona,Sevilla,954 14 38 93,0.466,CS Carmona I,"Se trata de un restaurante, que puede tener un consumo relevante durante el día, pero falta información sobre el consumo anual.","Otros restaurantes cerca de ti ya están aprovechando tarifas de 0,09 euros/kWh. Si me envías tu factura, te cuento más.",,
motel_a1e17f23,Motel,B,otro,Motel,Toledo,Toledo,,1.941,CS Madridejos II,"No se proporciona información sobre el consumo anual, lo que genera incertidumbre en la clasificación. Sin embargo, la actividad de motel sugiere un posible consumo diurno.","Otros moteles en tu área ya están pagando solo 0,09 euros/kWh gracias a la energía solar. Si me envías tu factura, puedo decirte cuánto podrías ahorrar.",,
mya_sushi_sevilla_c9d84658,MYA Sushi Sevilla,B,otro,Restaurant,Dos Hermanas,Sevilla,692 82 11 88,1.476,CS Dos Hermanas,"El lead es un restaurante, lo que sugiere consumo diurno, pero falta información sobre el consumo anual y la tarifa eléctrica.","Hay restaurantes cercanos que ya están disfrutando de tarifas de 0,09 euros/kWh. A menos de 2km de ti, hay una planta solar que lo hace posible. ¿Me mandas tu ú",,
new_rock_shoes_s.l._af887a8a,New Rock Shoes S.L.,B,otro,Manufacturer,Yecla,Murcia,968 71 80 27,2.217,CS Yecla II,"El lead no proporciona información sobre su consumo anual, lo que genera incertidumbre en su clasificación. Está ubicado dentro del radio de la planta solar.","Empresas en tu zona ya están aprovechando energía a 0,09 euros/kWh. La planta solar que está a menos de 2km de ti está ayudando a reducir costos. Mándame tu últ",,
olivar_de_santa_tere_aedb9d6b,Olivar de Santa Teresa S.L.,B,otro,Event Venue,Toledo,Toledo,925 76 04 00,1.179,CS Torrijos II,"El lead es una empresa y se encuentra dentro del radio de 5km de la planta solar, pero falta información sobre su consumo eléctrico anual.","En la zona ya hay empresas que están pagando 0,09 euros/kWh. Si te interesa, con tu factura te puedo hacer un estudio sin compromiso.",,
palacio_de_gallego_r_f9417f1e,Palacio de Gallego Restaurante & Boutique,B,otro,Restaurant,Baeza,Jaén,667 76 01 84,0.358,CS Baeza II,"El lead es un restaurante, que generalmente tiene un consumo relevante, pero falta información específica sobre su consumo anual y la tarifa eléctrica. Está cerca de la planta solar.","Hay restaurantes en tu zona que ya están pagando solo 0,09 euros/kWh. ¿Te gustaría conocer más sobre esto?",,
panaceite_centro_a504f804,Panaceite Centro,B,otro,Bistro,1,Jaén,953 24 06 30,1.523,CS Jaén I,"Es un negocio, pero falta información sobre el consumo eléctrico y la tarifa. Se encuentra a menos de 5 km de la planta solar.","Empresas en Jaén ya están disfrutando de tarifas de 0,09 euros/kWh gracias a la planta solar que está a 1,5km de tu ubicación. Me mandas la última factura? En 5",,
patxis_c4d86f5a,Patxis,B,otro,Restaurant,Villacañas,Toledo,925 16 02 82,4.765,CS Villacañas I,"Restaurante, no se dispone de consumo anual, pero puede encajar en el TIER B si cumple con el consumo mínimo. Está dentro del radio de la planta solar.","Hay restaurantes en tu zona que ya están aprovechando tarifas de 0,09 euros/kWh. Tú también puedes hacerlo, solo necesito tu factura eléctrica.",,
plataforma_logística_c95b46b7,Plataforma Logística DIA Sevilla,B,otro,Storage,Dos Hermanas,Sevilla,,2.293,CS Dos Hermanas,"Falta información sobre el consumo anual y la tarifa eléctrica. Sin embargo, la proximidad a la planta solar y la actividad sugiere un potencial medio para el PPA.","Empresas en la zona de Dos Hermanas ya están pagando 0,09 euros/kWh. Te invito a que mandes tu factura eléctrica para ver cómo puedes unirte.",,
repuestos_fuentes_dc928a45,Repuestos Fuentes,B,otro,,La Palma del Condado,Huelva,959 87 64 17,2.749,CS Palma del Condado I,"No se dispone del consumo anual, pero la proximidad a la planta solar es favorable. Se recomienda más información sobre su actividad y consumo eléctrico.","Hay empresas en La Palma del Condado que ya están pagando 0,09 euros/kWh por su energía, gracias a una planta solar a menos de 3km de distancia. Si me mandas la",,
restauante_manolo_ma_7320b102,Restauante Manolo Mayo,B,otro,Restaurant,Los Palacios y Villafranca,Sevilla,955 81 10 86,0.143,CS Los Palacios y Villafranca,Restaurante clasificado como probable en TIER B debido a su actividad. No se dispone de información sobre consumo energético específico.,"Hay restaurantes en tu zona que ya disfrutan de tarifas de 0,09 euros/kWh con energía solar. No te quedes atrás. Mándame la última factura y en 5 minutos tendrá",,
restaurante_alambiqu_4da320fa,Restaurante alambique,B,otro,Restaurant,Km 39,Jaén,953 32 20 12,3.061,CS Jaén I,"El restaurante puede tener un consumo considerable, pero falta información sobre el consumo anual y tipo de tarifa eléctrica.","Otros restaurantes cercanos a ti ya están pagando solo 0,09 euros/kWh por su electricidad. Te animo a que envies tu factura eléctrica para ver cómo te beneficia",,
restaurante_bar_parc_82fc8354,Restaurante Bar Parcela 15,B,otro,Restaurant,Parcela 15,Jaén,685 16 75 51,0.659,CS Torredelcampo II,"Restaurante que probablemente tenga un consumo relevante, pero falta información concreta sobre el consumo anual y tipo de tarifa eléctrica.","Hay restaurantes en tu zona que ya están pagando 0,09 euros/kWh gracias a una planta solar cercana. No te quedes atrás en este cambio. Si me envías la última fa",,
restaurante_barahond_617d522c,Restaurante Barahonda,B,otro,Fine Dining Restaurant,Yecla,Murcia,968 75 36 04,3.908,CS Yecla II,"Se trata de un restaurante, lo que sugiere actividad diurna y un consumo posiblemente significativo, aunque el consumo anual no está especificado. Está ubicado a menos de 5 km de la planta solar de Soldelia.","Hay restaurantes en Yecla que ya están pagando 0,09 euros/kWh. Estás a menos de 4km de esta posibilidad.",,
restaurante_bodegón__e7898b1f,Restaurante Bodegón Abuelo Curro,B,otro,Restaurant,Bollullos Par del Condado,Huelva,959 41 21 29,4.879,CS Palma del Condado I,"Aunque la actividad es relevante y se ubica cerca de una planta solar, falta información sobre el consumo anual para clasificarlo con mayor precisión.","Hay restaurantes en tu área que ya aprovechan la energía solar a 0,09 euros/kWh. ¿Te gustaría ver cómo podrían beneficiarse también?",,
restaurante_casa_mig_29554401,Restaurante Casa Miguela,B,otro,Restaurant,Los Palacios y Villafranca,Sevilla,625 03 32 28,0.741,CS Los Palacios y Villafranca,"El negocio es un restaurante, lo que sugiere un consumo diurno, pero falta información sobre el consumo anual y la tarifa eléctrica.","Restaurantes en tu zona ya están pagando solo 0,09 euros/kWh gracias a la planta solar cerca de ti. Si me envías la última factura eléctrica, te puedo ayudar a ",,
restaurante_casa_mor_5f90d6b8,Restaurante Casa Moral,B,otro,Restaurant,Los Palacios y Villafranca,Sevilla,955 81 62 16,0.654,CS Los Palacios y Villafranca,"Restaurante con posible encaje en la comunidad solar, pero se requiere información sobre el consumo para confirmarlo. La actividad es relevante pero no se puede estimar el kWh anual sin más datos.","Hay restaurantes en tu zona que ya están pagando 0,09 euros/kWh gracias a la energía solar. Sería interesante que conozcas cómo lo hacen.",,
restaurante_casa_ram_4800e1e5,Restaurante Casa Ramos,B,otro,Bar & Grill,Alcalá de Guadaíra,Sevilla,955 61 44 87,1.399,CS Alcalá de Guadaíra I,"El restaurante puede tener un consumo relevante, pero falta información sobre el consumo anual. Está dentro del radio de 5km de la planta solar.","Hay restaurantes cerca de ti que ya disfrutan de tarifas de 0,09 euros/kWh. Podrías unirte a ellos.",,
